name,level1CategoryName,packageName
微商货源,实用工具,https://app.mi.com/details?id=com.source.wharf
百视TV-新春百&ldquo;视&rdquo;皆宜,影音视听,https://app.mi.com/details?id=com.bestv.app
绯石之心,网游RPG,https://app.mi.com/details?id=com.feiyou.fszx.mi
話梅,时尚购物,https://app.mi.com/details?id=com.harmay.harmay
历史知识,实用工具,https://app.mi.com/details?id=cn.liusenhu.history
中课网校,学习教育,https://app.mi.com/details?id=com.zhongke3.online
一键清理精灵,实用工具,https://app.mi.com/details?id=com.mop.cleanelf
恋爱语音,聊天社交,https://app.mi.com/details?id=com.dale.bobo
视频带货,时尚购物,https://app.mi.com/details?id=com.yywl.dhsq
贝壳记账本-记账软件,金融理财,https://app.mi.com/details?id=com.shell.bill
极简记账-记账本,金融理财,https://app.mi.com/details?id=com.luyun.simpleaccout
火象交易,金融理财,https://app.mi.com/details?id=com.alphazone.app1
太牛,金融理财,https://app.mi.com/details?id=com.tpyzq.self.mobile.pangu
爱股票,金融理财,https://app.mi.com/details?id=com.aigupiao.ui
易收款,金融理财,https://app.mi.com/details?id=com.tzbank.merchant
雪盈证券,金融理财,https://app.mi.com/details?id=com.snowballfinance.android
乐刷商务版,金融理财,https://app.mi.com/details?id=com.yeahka.mach.android.openpos
金美信金融,金融理财,https://app.mi.com/details?id=com.jmx.fapp
好买基金,金融理财,https://app.mi.com/details?id=howbuy.android.palmfund
萝卜股票,金融理财,https://app.mi.com/details?id=com.datayes.iia
三峡担保app,金融理财,https://app.mi.com/details?id=com.triones.guarantee
正心谷资本,金融理财,https://app.mi.com/details?id=com.loyal.m
番茄记账本-记账软件,金融理财,https://app.mi.com/details?id=com.tomato.bill
广发期货,金融理财,https://app.mi.com/details?id=com.guangfaqihuo.mhdxh
平安企业宝- 保险保单理赔,金融理财,https://app.mi.com/details?id=com.pa.sales.client
安粮博易,金融理财,https://app.mi.com/details?id=com.anliangqihuo.mhdxh
国美易卡,金融理财,https://app.mi.com/details?id=com.gomejr.icash
乐山商业银行,金融理财,https://app.mi.com/details?id=com.csii.LeShanBank
大陆期货,金融理财,https://app.mi.com/details?id=com.daluqihuo.mhdxh
渤海信用卡,金融理财,https://app.mi.com/details?id=cn.com.bohaibank.mbank
捷信金融,金融理财,https://app.mi.com/details?id=com.hcc.app
平安健康保,金融理财,https://app.mi.com/details?id=com.pajk.bd
芒哩,金融理财,https://app.mi.com/details?id=com.mangojr.mangohua
平安金管家,金融理财,https://app.mi.com/details?id=com.pingan.lifeinsurance
东莞农商银行,金融理财,https://app.mi.com/details?id=com.hundsun.mobile.hsbrowsertest
五花牛股票,金融理财,https://app.mi.com/details?id=com.chenxikeji.cwp.whngp
广发期货小添财,金融理财,https://app.mi.com/details?id=com.gfqh.guangfa
国泰君安君弘,金融理财,https://app.mi.com/details?id=com.guotai.dazhihui
好好记账-自动记账,金融理财,https://app.mi.com/details?id=com.wihaohao.account
众安小贷,金融理财,https://app.mi.com/details?id=com.zaxd.loan
乐刷极速版,金融理财,https://app.mi.com/details?id=com.yeahka.leshangpay
辽宁振兴银行,金融理财,https://app.mi.com/details?id=com.newup.mobile.iap
宁波银行直销银行,金融理财,https://app.mi.com/details?id=com.wefax.nbank
众邦银行,金融理财,https://app.mi.com/details?id=com.csii.zbdirect
工银瑞信基金,金融理财,https://app.mi.com/details?id=com.gongyinruixin
金城银行,金融理财,https://app.mi.com/details?id=com.cn.tjjcdirectbank
你我贷借款,金融理财,https://app.mi.com/details?id=com.niwodai.universityloan
中邮钱包,金融理财,https://app.mi.com/details?id=com.youcash.ZYWallet
千策云智投,金融理财,https://app.mi.com/details?id=com.djc.qcyzt
西安银行,金融理财,https://app.mi.com/details?id=com.yitong.xian.mbank
钛媒体,金融理财,https://app.mi.com/details?id=com.businessvalue.android.app
老板记账,金融理财,https://app.mi.com/details?id=com.boss.bk
携程金融,金融理财,https://app.mi.com/details?id=com.ctrip.jr
e海通财,金融理财,https://app.mi.com/details?id=com.android.haitong
预测赢家-证券股票软件,金融理财,https://app.mi.com/details?id=com.ycyj
华宝基金,金融理财,https://app.mi.com/details?id=com.hbxyfund.android
福家享受,金融理财,https://app.mi.com/details?id=uni.UNIFDB343D
河南方城凤裕村镇银行,金融理财,https://app.mi.com/details?id=com.iss.hnlscbank
股市赢家,金融理财,https://app.mi.com/details?id=com.lanyi.live.advertisement
好分期,金融理财,https://app.mi.com/details?id=com.renrendai.haohuan
电e宝,金融理财,https://app.mi.com/details?id=cn.com.htjc.pay
百兴贷,金融理财,https://app.mi.com/details?id=com.bxbank.enterprise
壹隆环球,金融理财,https://app.mi.com/details?id=com.cmbi.zytx
信管家记账,金融理财,https://app.mi.com/details?id=com.house.kepper
华泰证券行知,金融理财,https://app.mi.com/details?id=com.htsc.instapp
宁波东海银行,金融理财,https://app.mi.com/details?id=com.iss.nbdhbank
珠江直销银行,金融理财,https://app.mi.com/details?id=com.grcbank.zxbank
鹏扬好基通-基金投资理财平台,金融理财,https://app.mi.com/details?id=com.pengyang.retail.hjt_plus_flutter
招银汇金,金融理财,https://app.mi.com/details?id=com.cmbchina.gold
有道财富--悄悄变富有,金融理财,https://app.mi.com/details?id=com.finace.market
太平通,金融理财,https://app.mi.com/details?id=com.cntaiping.tpapp
青海农信,金融理财,https://app.mi.com/details?id=com.qhrc.mbank
慧择保险网,金融理财,https://app.mi.com/details?id=com.hzins.mobile
度小满金融,金融理财,https://app.mi.com/details?id=com.duxiaoman.wallet
还呗,金融理财,https://app.mi.com/details?id=com.shuhekeji
记账助手,金融理财,https://app.mi.com/details?id=com.chenupt.money
微博钱包-分期信用贷款借钱服务,金融理财,https://app.mi.com/details?id=com.wj.wallet
苏宁金融,金融理财,https://app.mi.com/details?id=com.suning.mobile.epa
光大银行,金融理财,https://app.mi.com/details?id=com.cebbank.mobile.cemb
