title,types,regions,release_date,score,actors,actor_count 
情书,"['剧情', '爱情']",['日本'],1995-03-25,8.9,"['中山美穗', '丰川悦司', '酒井美纪', '柏原崇', '范文雀', '篠原胜之', '铃木庆一', '田口智朗', '加贺麻理子', '光石研', '铃木兰兰', '盐见三省', '中村久美', '梅田凡乃', '长田江身子 ', '小栗香织', '神户浩', '酒井敏也', '山口诗史', '山崎一', '德井优', '武藤寿美', '童自荣']",23
请以你的名字呼唤我,"['剧情', '爱情', '同性']","['意大利', '法国', '巴西', '美国', '荷兰', '德国']",2017-01-22,8.9,"['艾米·汉莫', '蒂莫西·柴勒梅德', '迈克尔·斯图巴', '阿蜜拉·卡萨', '艾斯特·加瑞尔', '维克图瓦尔·杜布瓦', '旺妲·卡布里奥罗', '安东尼奥·里莫尔迪', '埃琳娜·布奇', '马可·斯格罗索', '安德列‧艾席蒙', '彼得·斯皮尔斯']",12
爱在日落黄昏时,"['剧情', '爱情']","['美国', '法国']",2004-02-10,8.9,"['伊桑·霍克', '朱莉·德尔佩', '弗农·多布切夫', '路易丝·勒莫瓦纳·托雷斯', '罗多尔·保利', '玛丽安·普莱施泰格', '迪亚博洛', '丹尼·弗拉', '艾伯特·德尔佩', '玛丽·佩里']",10
萤火之森,"['剧情', '爱情', '动画', '奇幻']",['日本'],2011-09-17,8.9,"['佐仓绫音', '内山昂辉', '辻亲八', '山本兼平', '后藤弘树', '今井麻美']",6
甜蜜蜜,"['剧情', '爱情']",['中国香港'],2015-02-13,8.9,"['黎明', '张曼玉', '杨恭如', '曾志伟', '杜可风', '张同祖', '诸慧荷', '丁羽', '王章宝', '关信辉', '米歇尔·加布里埃尔', '谢志华']",12
侧耳倾听,"['剧情', '爱情', '动画']",['日本'],1995-07-15,8.9,"['本名阳子', '小林桂树', '高山南', '高桥一生', '山下容莉枝', '室井滋', '露口茂', '饭冢雅弓', '加利·艾尔维斯']",9
喜宴,"['剧情', '喜剧', '爱情', '同性', '家庭']","['中国台湾', '美国']",1993-08-04,8.9,"['赵文瑄', '郎雄', '归亚蕾', '金素梅', '米切尔·利希藤斯坦', '杨元提', '李淳', '李安', '迈克尔·加斯顿', '许永德', '汉娜·沙利文', '姚培德']",12
莫里斯,"['剧情', '爱情', '同性']",['英国'],1987-09-18,8.9,"['詹姆斯·维尔比', '休·格兰特', '鲁珀特·格雷夫斯', '丹霍姆·艾略特', '西蒙·卡洛', '比莉·怀特劳', '巴里·福斯特', '朱迪·帕瑞福特', '菲比·尼克尔斯', '帕特里克·戈弗雷', '马克·坦迪', '本·金斯利', '姬蒂·奥尔德里奇', '海伦娜·米切尔', '凯瑟琳·拉贝特', '彼得·爱', '迈克尔·吉恩', 'Mark Payton', '奥兰多·威尔斯', '玛丽亚·布里特涅娃', '米尔斯·理查森', 'Phillida Sewell', '哈里特·索普', '朱利安·沃德姆', 'Richard Warner', '让-马克·巴尔', '海伦娜·伯翰·卡特', '塞雷娜·戈登']",28
佛兰德斯的狗,"['动画', '剧情', '爱情']","['日本', '美国']",1997-03-15,8.9,"['津村真琴', '丹下樱', '八木光生', '富田耕生', '中西妙子', '龟井芳子', '渊崎由里子', '平野正人', '安达忍', '峰惠研', '竹口安芸子', '城山坚', '绪方贤一', '松尾贵司', '菅原淳一', '岩坪理江', '真山亚子', '佐佐木优子', '森川智之', '鸟海胜美', '山本圭', '冈江久美子', '筑崎茂', '八木亚希子', '伊集院光', '铃木保奈美']",26
歌厅,"['剧情', '爱情', '歌舞']",['美国'],1972-02-13,8.9,"['丽莎·明奈利', '麦克尔·约克', '赫尔穆特·格里姆', '乔尔·格雷', '弗里茨·维伯', '马里莎·贝伦森', '伊丽莎白·诺伊曼-菲特尔', '海伦·维塔', '西格丽德·冯·里希特霍芬', '格尔德·费斯佩曼', '劳夫·沃尔特', 'Estrongo Nachama', '凯瑟琳·多比', 'Pierre Franckh', 'Ellen Umlauf']",15
七次机会,"['喜剧', '爱情']",['美国'],1925-03-11,8.9,"['巴斯特·基顿', 'T.罗伊·巴尔内斯', '辛兹·爱德华', '露丝·德怀尔', '弗朗西丝·雷蒙德', '朱尔斯·考尔斯', '琪恩·亚瑟', 'Lori Bara', 'Bartine Burkett', 'Rosalind Byrne', 'Louise Carver', 'Doris Deane', 'Hazel Deane', 'Eugenia Gilbert', 'Rosa Gore', 'Marion Harlan', '让·C·阿韦', 'Judy King', '凯特·普莱斯', 'Julian Rivero', '康斯坦斯·塔尔梅奇', 'S.D. Wilcox']",22
安全至下,"['喜剧', '爱情', '惊悚']",['美国'],1923-04-01,8.9,"['哈罗德·劳埃德', '米尔德丽德·戴维斯', '比尔·斯特罗瑟', '诺厄·扬', '韦斯科特·克拉克', 'Roy Brooks', 'Mickey Daniels', 'Richard Daniels', 'Ray Erlenborn', 'William Gillespie', 'Helen Gilmore', 'Wallace Howe', '杰姆斯-凯利', 'Gus Leonard', 'Sam Lufkin', '玛丽·莫斯奎尼', '弗雷德·C·纽迈尔', '查尔斯·史蒂文森', 'Anna Townsend']",19
舞台春秋,"['喜剧', '剧情', '音乐', '爱情']",['美国'],1952-10-16,8.9,"['查理·卓别林', '巴斯特·基顿', '克莱尔·布鲁姆', '奈杰尔·布鲁斯', '悉尼·卓别林', '杰拉丁·卓别林', '诺曼·劳埃德']",7
喜剧之王,"['喜剧', '剧情', '爱情']",['中国香港'],1999-02-13,8.8,"['周星驰', '张柏芝', '莫文蔚', '吴孟达', '林子善', '田启文', '李兆基', '成龙', '李思捷', '郑文辉', '胡立成', '冯勉恒', '戴龙', '郑祖', '袁富华', '侯焕玲', '徐志雄', '陈宝骏', '叶竞生', '明德丰']",20
重庆森林,"['剧情', '爱情']",['中国香港'],1994-07-14,8.8,"['林青霞', '金城武', '梁朝伟', '王菲', '周嘉玲', '黄志明', '左颂升', '关莉娜']",8
倩女幽魂,"['爱情', '奇幻', '武侠', '古装']",['中国香港'],2011-04-30,8.8,"['张国荣', '王祖贤', '午马', '刘兆铭', '林威', '薛芷伦', '胡大为', '王晶', '黄哈']",9
盗梦空间,"['剧情', '科幻', '悬疑', '冒险']","['美国', '英国']",2010-09-01,9.4,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特', '迈克尔·凯恩', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅伦', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉', '迈克尔·加斯顿', '吉尔·马德雷尔', '玛格丽特·因索利亚', 'Natasha Beaumont']",29
星际穿越,"['剧情', '科幻', '冒险']","['美国', '英国', '加拿大']",2014-11-12,9.4,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '蒂莫西·柴勒梅德', '艾伦·伯斯汀', '约翰·利思戈', '韦斯·本特利', '大卫·吉亚西', '比尔·欧文', '托弗·戈瑞斯', '科莱特·沃夫', '弗朗西斯·X.麦卡蒂', '安德鲁·博尔巴', '乔什·斯图沃特', '莱雅·卡里恩斯', '利亚姆·迪金森', '杰夫·赫普内尔', '伊莱耶斯·加贝尔', '布鲁克·史密斯', '大卫·奥伊罗', '威廉姆·德瓦内', '拉什·费加', '格里芬·弗雷泽', '弗洛拉·诺兰']",28
楚门的世界,"['剧情', '科幻']",['美国'],1998-06-05,9.3,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩', '安东尼·科隆', '马西娅·德波尼斯', 'Adam Tomei', '约翰·普莱舍', '澳澜·琼斯', 'Joe Minjares', '特里·金瑞利', '乔尔·麦金农·米勒', '冈本玉二', 'Jake Eberle', '马克·麦考利', '贾德森·沃恩', '彼得·克劳斯', '保罗·吉亚玛提', '菲利普·贝克·霍尔', '梅丽莎·菲茨杰拉德', 'Blair Slater', '珍妮特·米勒', '霍兰德·泰勒', '布赖恩·戴拉特', '哈里·谢尔']",26
机器人总动员,"['科幻', '动画', '冒险']",['美国'],2008-06-27,9.3,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗', 'MacInTalk', '约翰·拉岑贝格', '凯茜·纳基麦', '泰迪·牛顿', '鲍伯·伯根', '洛丽·理查德森', '吉姆·瓦德', '彼特·道格特', '安德鲁·斯坦顿', '杰夫·皮金', '约翰·齐甘', '米凯·麦高万', '雪莉·琳恩', '克莱特·惠特克', '唐纳德·富利洛夫', '罗里·艾伦', '杰斯·哈梅尔', '拉瑞恩·纽曼', '扬·拉布森', '保罗·伊丁', '特蕾莎·甘泽尔', '安格斯·麦克莱恩', '草刈正雄', '赵增熹', '加勒特·帕尔默']",30
蝙蝠侠：黑暗骑士,"['剧情', '动作', '科幻', '犯罪', '惊悚']","['美国', '英国']",2008-07-14,9.2,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔', '加里·奥德曼', '摩根·弗里曼', '莫尼克·加布里埃拉·库尔内', '罗恩·迪恩', '基里安·墨菲', '黄经汉', '内斯特·卡博内尔', '埃里克·罗伯茨', '里特奇·科斯特', '安东尼·迈克尔·豪尔', '基斯·斯扎拉巴基克', '柯林·麦克法兰', '约书亚·哈尔托', '美琳达·麦格劳', '内森·甘宝', '迈克尔·维约', '迈克尔·斯托扬诺夫', '威廉·斯米利', '丹尼·高德林', '迈克尔·加·怀特', '马修·奥尼尔', '威廉·菲克纳', '欧鲁米基·欧拉乌米', '格雷格·比姆', '爱利克·赫尔曼', '毕崔斯·罗森', '文森佐·尼克力', '陈冠希', '罗南·萨莫尔斯', '玛丽扎·卡布蕾拉', '大卫·达斯马齐连', '理查德·迪兰', '利萨·麦克阿里斯特', '亚当·卡莱佩里斯']",39
超感猎杀：完结特别篇,"['剧情', '科幻', '同性']",['美国'],2018-06-08,9.2,"['裴斗娜', '杰米·克莱顿', '蒂娜·德赛', '塔彭丝·米德尔顿', '马克思·雷迈特', '米格尔·安赫尔·西尔维斯特', '布莱恩·J·史密斯', '托比·奥伍梅尔', '弗莉玛·阿吉曼', '帕鲁布·科里', '阿方索·埃雷拉', '泰伦斯·曼', '达丽尔·汉纳', '纳威恩·安德利维斯', '奈斯鲍提斯塔', '斯蒂芬·鲍克思', '阿米拉·加扎拉', '约书亚·格罗斯', '埃伦迪拉·伊瓦拉', '雅丽·乔维尔', '西尔维斯特·迈可伊', 'Annie Munch', '埃文特·斯特朗', '马克斯·毛夫', 'Vincent Bouillon', '孙锡久', '瓦莱丽亚·比莱洛', '朴秀珠', '拉娜·沃卓斯基']",29
新世纪福音战士 第0:0话 诞生之始,"['剧情', '科幻', '动画']",['日本'],1995-12-21,9.2,"['绪方惠美', '林原惠美', '三石琴乃', '宫村优子', '石田彰']",5
少年骇客：变身之谜,"['动作', '科幻', '动画', '冒险']",['美国'],2007-08-10,9.2,"['塔拉·斯特朗', '梅根·史密斯', '保罗·伊丁', '吉姆·瓦德', '戴夫·维滕博格', 'Claudia Schmidt', '德怀特·舒尔茨', '瓦内萨·马歇尔', '理查德·麦克格纳格尔', '理查德·史蒂文·霍维茨', '史蒂夫·布卢姆', '迪·布拉雷·贝克尔', '罗伯特·大卫·豪尔']",13
黑客帝国,"['动作', '科幻']",['美国'],2000-01-14,9.1,"['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '雨果·维文', '格洛丽亚·福斯特', '乔·潘托里亚诺', '马库斯·钟', '朱利安·阿拉汗加', '马特·多兰', '贝琳达·麦克洛里', '安东尼雷派克', '罗伯特·泰勒', '阿达·尼科德莫', '罗温·维特', '塔玛拉·布朗', '纳塔莉·特珍', '比尔·扬', '克里斯·斯科特', '纳许·埃哲顿', '童自荣', '沈晓谦', '户田惠子', '张磊', '金永钢', '保罗·戈达德']",25
黑镜：圣诞特别篇,"['剧情', '科幻', '惊悚']",['英国'],2014-12-16,9.1,"['乔恩·哈姆', '拉菲·斯波', '奥娜·卓别林', '娜塔丽·特纳', '詹妮特·蒙哥马利', '李丹', '拉斯穆斯·哈迪克', 'Verity Marshall', '比阿特丽斯·克纽', '丽兹·梅·布莱丝']",10
攻壳机动队2：无罪,"['剧情', '科幻', '动画']",['日本'],2004-03-06,9.1,"['田中敦子', '大塚明夫', '山寺宏一', '大木民夫', '仲野裕', '平田广明', '寺杣昌纪', '武藤寿美', '藤本让', '龟山助清', '仲木隆司', '立木文彦', '木下浩之', '平野稔', '堀胜之祐', '榊原良子', '保村真', '朝仓荣介', '望月健一', '木川绘理子', '杉本优', '渡边明乃', '日向奈奈美', '竹中直人']",24
大都会,"['剧情', '科幻']",['德国'],1927-01-10,9.1,"['阿弗莱德·阿贝尔', '古斯塔夫·佛力施', '布里吉特·赫尔姆', '鲁道夫·克莱恩-鲁格', 'Heinrich George', '西奥多·卢斯', '弗里茨·拉斯普', 'Erwin Biswanger']",8
赛文奥特曼 我是地球人,"['动作', '科幻']",['日本'],1999-12-31,9.1,"['山崎胜之', '佐原健二', '鹈川薰', '足立理绘子', '森次晃嗣', '南条弘二']",6
赛文奥特曼 光荣与传说,"['剧情', '动作', '科幻']",['日本'],1999-07-07,9.1,"['南条弘二', '山崎胜之', '鹈川薰', '足立理绘子', '佐原健二', '森次晃嗣']",6
红辣椒,"['动画', '悬疑', '科幻', '惊悚']",['日本'],2006-09-02,9.0,"['林原惠美', '江守彻', '堀胜之祐', '古谷彻', '大塚明夫', '山寺宏一', '田中秀幸', '兴梠里美', '岩田光央', '爱河里花子', '川濑晶子', '太田真一郎', '福松进纱', '胜杏里', '宫下荣治', '三户耕三', '今敏', '筒井康隆']",18
攻壳机动队,"['动作', '科幻', '动画']",['日本'],1995-11-18,9.0,"['田中敦子', '大塚明夫', '山寺宏一', '大木民夫', '家弓家正', '玄田哲章', '山内雅人', '小川真司', '宫本充', '小高三良', '后藤敦', '山路和弘', '佐藤政道', 'Lia Sargent', '布莱恩·科兰斯顿', '松山鹰志']",16
赛文奥特曼 仿制的男人,"['剧情', '动作', '科幻']",['日本'],1999-12-05,9.0,"['宫坂广', '佐原健二', '南条弘二', '鹈川薰', '足立理绘子', '森次晃嗣', '山崎胜之']",7
高智能方程式赛车 TV总集篇,"['爱情', '科幻', '动画']",['日本'],1992-08-05,9.0,"['金丸淳一', '三石琴乃', '安达忍']",3
V字仇杀队,"['剧情', '动作', '科幻', '惊悚']","['美国', '英国', '德国']",2005-12-11,8.9,"['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特', '蒂姆·皮戈特-史密斯', '鲁珀特·格雷夫斯', '罗杰·阿拉姆', '本·迈尔斯', '西妮德·库萨克', '娜塔莎·怀特曼', '约翰·斯坦丁', '埃迪·马森', '克里夫·阿什伯恩', 'Emma Field-Rayner', '伊安·布尔费尔德', '马克·菲尼克斯', 'Alister Mazzotti', '比莉·库克', '盖伊·亨利', '科斯马·肖', 'Megan Gay', 'Roderic Culver', 'Tara Hacking', '安迪·莱什利兹', '查德·斯塔赫斯基', '布拉德利·斯蒂夫·福特', '马德琳·拉基克-普拉特', '塞丽娜·贾尔斯', '卡斯腾·海斯', '伊莫琴·普茨', '劳拉·格林伍德', 'Kyra Meyer', '玛丽·萧克莱 ', '理查德·莱恩', 'Michael Simkins', '大卫·雷奇', '马尔科姆·辛克莱', '马迪斯·兰德维尔', 'Simon Newby', '保罗·安东尼·巴伯']",41
2001太空漫游,"['科幻', '惊悚', '冒险']","['英国', '美国']",1968-04-02,8.9,"['凯尔·杜拉', '加里·洛克伍德', '威廉姆·西尔维斯特', '丹尼尔·里希特', '雷纳德·洛塞特', '罗伯特·比提', '肖恩·沙利文', '艾德·毕肖普', '格伦·贝克', '艾伦·吉福德', '安·吉利斯', '道格拉斯·雷恩', '薇薇安·库布里克', '玛格丽特·提扎克']",14
回忆三部曲,"['动画', '奇幻', '科幻', '惊悚']",['日本'],1995-12-23,8.9,"['矶部勉', '山寺宏一', '高岛雅罗', '饭塚昭三', '千叶繁', '泽海阳子', '石村知子', '平野正人', '坂口哲夫', '大场真人', '堀秀行', '羽佐间道夫', '大塚周夫', '阪脩', '绪方贤一', '大塚明夫', '京田尚子', '石森达幸', '藤井佳代子', '神代知衣', '曾我部和行', '岛田敏', '田中亮一', '岸野幸正', '佐藤佑晖', '大泷进矢', '卷岛直树', '岩永哲哉', '中村尚子', '小林通孝', '林勇', '山田俊司', '山本圭子', '仲木隆司', '中村秀利', '福田信昭', '江川央生', '佐藤正治', '佐藤蓝', '长嶝高士', '石川洋昭', '喜多川拓郎', '田中和实', '园部启一', '铃木胜美', '盐屋浩三', '河合义雄', '峰敦子', '巴菁子', '森次晃嗣']",50
博士之日,['科幻'],['英国'],2013-11-23,8.9,"['大卫·田纳特', '珍娜·科尔曼', '约翰·赫特', '马特·史密斯', '比莉·派佩', '汤姆·贝克', '乔安娜·佩吉', '吉玛·雷德格里夫']",8
赛文奥特曼 空中飞舞的大铁块,"['剧情', '动作', '科幻']",['日本'],1999-08-05,8.9,"['山崎胜之', '佐原健二', '鹈川薰', '足立理绘子', '森次晃嗣', '南条弘二']",6
阿凡达,"['动作', '科幻', '冒险']",['美国'],2010-01-04,8.8,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹', '吉奥瓦尼·瑞比西', '乔·大卫·摩尔 ', '希·庞德', '韦斯·斯塔迪', '拉兹·阿隆索', '迪利普·劳', '马特·杰拉德', '肖恩·安东尼·莫兰', '彼得·狄龙', '肖恩·帕特里克·墨菲', '詹姆斯·皮特', '凯利·基尔戈', '凯尔森·亨德森', '大卫·范·霍恩', '詹姆斯·霍纳', '陆建艺', '季冠霖', '杰森·怀特', '彼得·门萨', '泰瑞·诺塔里', '斯科特·劳伦斯', '凯文·多曼', '雅克布·托毛里', '伍迪·舒尔茨', '黛布拉·威尔逊']",30
蝴蝶效应,"['剧情', '悬疑', '科幻', '惊悚']","['美国', '加拿大']",2004-01-23,8.8,"['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特', '约翰·帕特里克·阿梅多利', '艾琳·戈洛瓦娅', '凯文·G·施密特', '杰西·詹姆斯', '罗根·勒曼', '莎拉·威多斯', '杰克·凯斯', '卡梅隆·布莱特', '埃里克·斯托尔兹', '考乐姆·吉斯·雷尼', '凯文·杜兰', '伊桑·苏普利', '杰西·哈奇']",18
蝙蝠侠：黑暗骑士崛起,"['剧情', '动作', '科幻', '犯罪', '惊悚']","['美国', '英国']",2012-08-27,8.8,"['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚', '加里·奥德曼', '迈克尔·凯恩', '摩根·弗里曼', '朱诺·坦普尔', '乔什·平茨', '丹尼尔·逊亚塔', '内斯特·卡博内尔', '伯恩·戈曼', '连姆·尼森', '乔伊·金', '艾丹·吉伦', '基里安·墨菲', '乔什·斯图沃特', '马修·莫迪恩', '本·门德尔森', '本·科尼什', '克莱尔·茱莉安', '伊恩·鲍汉', '威廉姆·德瓦内', '罗伯特·维斯多姆', '弗瑞德里克·林恩', '罗伯·布朗', '约瑟夫·莱尔·泰勒', '阿隆·阿布布尔', '艾伦·萨吉尼亚', '约翰·诺兰', '托马斯·图尔', '杰伊·本尼迪克特', '金锋', '约翰·麦克米兰', '杰克·卡鲁索', '迪索·拉莫斯', '英迪娅·沃兹沃思', '阿拉米斯·奈特', '特雷弗·怀特', '布莱特·卡伦', '拉塞尔·巴洛格', '艾捷拉·埃文斯', '托马斯·列农', '戴斯蒙德·哈灵顿', '汤姆·康蒂', '大卫·莫纳汉', '韦德·威廉姆斯', '雷吉·李']",49
黑客帝国3：矩阵革命,"['动作', '科幻']",['美国'],2003-11-05,8.8,"['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '雨果·维文', '贾达·萍克·史密斯', '凯特·宾汉', '玛丽·爱丽丝', '莫妮卡·贝鲁奇', '埃茜·戴维斯', '克里斯托弗·卡比', '罗伯特·马莫内', '罗宾·奈文', '吉娜薇·欧瑞丽', '诺娜·加耶', '纳撒尼尔·利斯', '哈里·列尼斯', '哈罗德·佩里诺', '鲁伯特·雷德', '凯文·迈克尔·理查德森', '大卫·罗伯茨', '布鲁斯·斯宾斯', '吉娜·托瑞斯', '克莱顿·华生', '赫尔穆特·巴凯蒂斯', '邹兆龙', '乔·曼宁', 'Tanveer K. Atwal', '拉黑·休姆', '康奈尔·韦斯特', '伯纳德·怀特', '朗贝尔·维尔森', '安东尼·布兰登·黄', '安东尼·泽比', '克雷格·沃克', '户田惠子', '任亚明', '蕾切尔·布莱克曼']",37
终结者2：审判日,"['动作', '科幻']","['美国', '法国']",1991-07-03,8.8,"['阿诺·施瓦辛格', '琳达·汉密尔顿', '爱德华·福隆', '罗伯特·帕特里克', '阿尔·伯恩', '乔·莫顿', '埃帕莎·默克森', '卡斯图罗·格雷拉', '丹尼·库克塞', '詹妮特·戈德斯坦恩', '山德·贝克利', '莱思莉·汉密尔顿·格伦', '彼得·舒鲁姆', '唐·雷克', '吉姆·帕尔默', '格温达·迪肯', '科林·帕特里克·林奇', '妮基·考克斯', '德沃恩·尼克森', '阿卜杜勒·萨拉姆·埃尔·拉扎克', '迈克·马斯喀特', '迪恩·诺里斯', '查尔斯·A·坦伯罗', '丹尼·皮尔斯', '马克·克里斯托弗·劳伦斯', '林凡 ', '乔尔·克莱默', '斯科特·肖', '史文-欧尔·托尔森', '小威廉·威谢尔', 'Michael Edwards', 'Don Stanton', 'Dan Stanton', 'Lisa Brinegar', 'Dalton Abbott', 'Bret A. Arnold', 'Martin Deluca', '迈克尔·比恩']",38
千钧一发,"['剧情', '科幻', '惊悚']",['美国'],1997-10-24,8.8,"['伊桑·霍克', '乌玛·瑟曼', '裘德·洛', '艾伦·阿金', '戈尔·维达尔', '山德·贝克利', '劳恩·迪恩', '简妮·布鲁克', '伊莱亚斯·科泰斯', '玛娅·鲁道夫', '伍娜·戴蒙', '布莱尔·安德伍德', '梅森·甘布', '威廉姆·李·斯科特', '欧内斯特·博格宁', '托尼·夏尔赫布', '肯·马里诺', '加布里埃尔·瑞丝', '迪恩·诺里斯', '丹格里芬', '格雷戈·赛斯特罗', 'Elizabeth Dennehy', '查德·克里斯特', 'George Marshall Ruge', 'Vincent Nielson']",25
黑客帝国动画版,"['动作', '剧情', '动画', '科幻']","['美国', '日本']",2003-06-03,8.8,"['大塚明夫', '克莱顿·华生', '帕梅拉·阿德龙', '海蒂·布雷斯', '特伦斯·卡森', '美琳达·克拉克', '奥利薇亚·阿波', '戴恩·A·戴维斯', '威廉·R·迪恩', '里克·戈麦斯', '基努·里维斯']",11
潜行者,"['剧情', '科幻', '悬疑']",['苏联'],1980-05-13,8.8,"['亚历山大·凯伊达诺夫斯基', '阿丽萨·弗雷因德利赫', '安纳托利·索洛尼岑', '尼古拉·格林科', '纳塔利娅·阿布拉莫娃', '费米·约尔诺', 'E·科斯京', '雷默·伦迪']",8
她的回忆,"['动画', '冒险', '科幻']",['日本'],1995-12-23,8.8,"['矶部勉', '山寺宏一', '高岛雅罗', '饭塚昭三', '千叶繁', '泽海阳子', '石村知子', '平野正人', '坂口哲夫', '大场真人']",10
原始星球,"['动画', '科幻']","['法国', '捷克斯洛伐克']",1973-12-06,8.8,"['让·托帕尔', '让·瓦尔蒙', '伊夫·巴萨克']",3
头号玩家,"['动作', '科幻', '冒险']",['美国'],2018-03-30,8.7,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯', '基特·康纳', '罗娜·莫里森', '麦肯娜·格瑞丝', '丹尼尔·祖尔格哈德利', '杰登·福拉-奈特', '阿隆索·阿尔瓦雷斯', '阿玛尼·杰克森', '露露·威尔逊', '内特·莫汗', '朱莉娅·尼克森', '利蒂希娅·赖特', '雅各布·贝特兰德', '埃里克·西格蒙德森', '罗伯特·吉尔贝托', '迈克尔·怀德曼', '图尔洛夫·科维里']",32
超能陆战队,"['喜剧', '动作', '科幻', '动画', '冒险']",['美国'],2015-02-28,8.7,"['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '郑智麟', '小达蒙·韦恩斯', '珍尼希斯·罗德里格兹', '詹姆斯·克伦威尔', '艾伦·图代克', '玛娅·鲁道夫', '亚布拉哈姆·本鲁比', '凯蒂·洛斯', '比利·布什', '丹尼尔·吉尔森', '保罗·布里格斯', '郝祥海', '查尔斯·阿德勒', '菅野美穗', '乔西·特立尼达', 'Dan Howell', '斯坦·李', '大卫·肖内西', '夏洛特·古列齐']",23
人工智能,"['剧情', '科幻']","['美国', '英国']",2001-06-29,8.7,"['海利·乔·奥斯蒙', '弗兰西丝·奥康纳', '山姆·洛巴兹', '杰克·托马斯', '裘德·洛', '威廉·赫特', '肯·梁', '克拉克·格雷格', '凯文·苏斯曼', '汤姆·加洛普', '尤金·奥斯门特', '艾普尔·格雷斯', '马特·温斯顿', '萨布丽娜·格德维奇', '西奥·格林利', '梅丽尔·斯特里普', '罗宾·威廉姆斯', '本·金斯利', '成宫宽贵', '布莱丹·格里森', '克里斯·洛克', '凯瑟琳·莫里斯', '艾德里安·格尼尔', '恩里克·克兰东尼', '凯蒂·罗曼', '黛维·切斯', '艾什丽·斯科特', '葆拉·马尔科姆森', '海利·金', '克莱拉·贝拉', '贾斯蒂娜·马查多', '杰雷米·詹姆斯·基斯纳尔', '丽纳·欧文', '布伦特·塞克斯顿', '罗尼·吉恩·贝尔维斯', '劳伦斯·梅森', '迈克尔·肖姆斯·维尔斯', '迈克尔·曼特尔', '杰克·安杰尔', '克劳迪娅·卡茨', '吉姆·简森', '马特·马洛伊', '克里斯巴勒莫', '提姆·里格比', 'Lily Knight', '维恩·维尔德森', 'Miguel Pérez', '黛安·弗莱彻', '基思·坎贝尔', 'Mark Allan Staubach', 'Dillon McEwin', 'Bobby Harwell', 'Michael Fishman', 'Kelly Felix', 'Al Jourgensen', '亚当·亚里克斯-马里', '迈克尔·贝雷瑟', '杰伊男爵', 'Paul Barker', 'Andy Morrow', '柯特·杨伯格']",61
