title,types,regions,release_date,score,actors,actor_count
十二怒汉（电视版）,"['剧情', '犯罪', '悬疑']",['美国'],1954-09-20,9.5,"['罗伯特·卡明斯', '法兰奇·汤恩', '爱德华·阿诺德', '保罗·哈特曼', '约翰·贝尔', '沃尔特·艾贝尔', '乔治·沃斯科维奇', '约瑟夫·史威尼', '巴特·伯恩斯', '诺曼·费尔', '李·飞利浦', 'Larkin Ford']",12
这个杀手不太冷,"['剧情', '动作', '犯罪']","['法国', '美国']",1994-09-14,9.4,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔', '迈克尔·巴达鲁科', '艾伦·格里尼', '伊丽莎白·瑞根', '卡尔·马图斯维奇', '弗兰克·赛格', '麦温', '乔治·马丁', '罗伯特·拉萨多', '亚当·布斯奇', '马里奥·托迪斯科', '萨米·纳塞利', '让·雨果·安格拉德', '埃莱娜·卡多纳', '沈晓谦', '大塚明夫', 'Keith A. Glascoe']",21
千与千寻,"['剧情', '动画', '奇幻']",['日本'],2019-06-21,9.4,"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男', '玉井夕海', '神木隆之介', '内藤刚志', '泽口靖子', '我修院达也', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦', '田壮壮', '王琳', '安田显', '户次重幸', '胡立成', '山像香', '斋藤志郎', '脇田茂', '彭昱畅', '井柏然', '周冬雨']",25
泰坦尼克号,"['剧情', '爱情', '灾难']","['美国', '墨西哥', '澳大利亚', '加拿大']",1998-04-03,9.4,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍', '格劳瑞亚·斯图尔特', '比尔·帕克斯顿', '伯纳德·希尔', '大卫·沃纳', '维克多·加博', '乔纳森·海德', '苏茜·爱米斯', '刘易斯·阿伯内西', '尼古拉斯·卡斯柯恩', '阿那托利·萨加洛维奇', '丹尼·努齐', '杰森·贝瑞', '伊万·斯图尔特', '艾恩·格拉法德', '乔纳森·菲利普斯', '马克·林赛·查普曼', '理查德·格拉翰', '保罗·布赖特威尔', '艾瑞克·布里登', '夏洛特·查顿', '博纳德·福克斯', '迈克尔·英塞恩', '法妮·布雷特', '马丁·贾维斯', '罗莎琳·艾尔斯', '罗切尔·罗斯', '乔纳森·伊万斯-琼斯', '西蒙·克雷恩', '爱德华德·弗莱彻', '斯科特·安德森', '马丁·伊斯特', '克雷格·凯利', '格雷戈里·库克', '利亚姆·图伊', '詹姆斯·兰开斯特', '艾尔莎·瑞雯', '卢·帕尔特', '泰瑞·佛瑞斯塔', '凯文·德·拉·诺伊', '詹姆斯·卡梅隆', '竹内结子', '詹姆斯·霍纳', '姜广涛', '罗恩·多纳基', '佐佐木澄江', '史蒂文·奎里', '詹妮特·戈德斯坦恩', '林凡 ', 'Linda Kerns', '马丁·哈伯', '马丁·莱恩', '德里克·李', '保罗·赫伯特', '亚历山大·欧文斯', 'Julene Renee', '曲敬国']",61
盗梦空间,"['剧情', '科幻', '悬疑', '冒险']","['美国', '英国']",2010-09-01,9.4,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特', '迈克尔·凯恩', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅伦', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉', '迈克尔·加斯顿', '吉尔·马德雷尔', '玛格丽特·因索利亚', 'Natasha Beaumont']",29
星际穿越,"['剧情', '科幻', '冒险']","['美国', '英国', '加拿大']",2014-11-12,9.4,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '蒂莫西·柴勒梅德', '艾伦·伯斯汀', '约翰·利思戈', '韦斯·本特利', '大卫·吉亚西', '比尔·欧文', '托弗·戈瑞斯', '科莱特·沃夫', '弗朗西斯·X.麦卡蒂', '安德鲁·博尔巴', '乔什·斯图沃特', '莱雅·卡里恩斯', '利亚姆·迪金森', '杰夫·赫普内尔', '伊莱耶斯·加贝尔', '布鲁克·史密斯', '大卫·奥伊罗', '威廉姆·德瓦内', '拉什·费加', '格里芬·弗雷泽', '弗洛拉·诺兰']",28
忠犬八公的故事,['剧情'],"['美国', '英国']",2009-06-13,9.4,"['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利', '田川洋行', '杰森·亚历山大', '罗伯特·卡普荣', 'Ellen Becker-Gray', 'Ben Skinner', '凯文·德科斯泰', 'Raymond Alongi', 'Michael Kelly', '达文尼亚·麦克法登', '贝茨·怀尔德', '亚美利哥·普雷休蒂', '盖尔·布格贾', '马丁·蒙塔纳', '高岛彩']",19
十二怒汉,['剧情'],['美国'],1957-04-13,9.4,"['亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒', '李·科布', 'E.G.马绍尔', '杰克·克卢格曼', '爱德华·宾斯', '杰克·瓦尔登', '约瑟夫·史威尼', '埃德·贝格利', '乔治·沃斯科维奇', '罗伯特·韦伯']",12
大闹天宫,"['剧情', '动画', '奇幻', '古装']",['中国大陆'],1961,9.4,"['邱岳峰', '富润生', '毕克', '尚华', '于鼎', '李梓', '刘广宁']",7
泰坦尼克号 3D版,"['剧情', '爱情', '灾难']",['美国'],2012-04-10,9.4,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍', '格劳瑞亚·斯图尔特', '比尔·帕克斯顿', '伯纳德·希尔', '大卫·沃纳', '维克多·加博', '乔纳森·海德', '苏茜·爱米斯', '刘易斯·阿伯内西', '尼古拉斯·卡斯柯恩', '阿那托利·萨加洛维奇', '丹尼·努齐', '杰森·贝瑞', '伊万·斯图尔特', '迈克尔·英塞恩', '博纳德·福克斯', '夏洛特·查顿', '季冠霖', '艾瑞克·布里登', '罗恩·多纳基', '詹妮特·戈德斯坦恩', 'Linda Kerns', '西蒙·克雷恩', '克雷格·凯利', '德里克·李', '保罗·赫伯特', '马丁·贾维斯', '詹姆斯·卡梅隆', '马克·林赛·查普曼', '爱德华德·弗莱彻', '艾恩·格拉法德', '罗切尔·罗斯', '史蒂文·奎里']",37
